"","gbifID","class","order","family","genus","species","stateProvince","decimalLatitude","decimalLongitude","day","month","year"
"3986",1324189716,"Reptilia","Squamata","Colubridae","Nerodia","Nerodia floridana","Florida",26.33376,-80.5696,24,2,2015
"3987",1324188997,"Amphibia","Anura","Hylidae","Osteopilus","Osteopilus septentrionalis","Florida",24.70536,-81.38044,30,4,2014
"3988",1324189401,"Reptilia","Squamata","Viperidae","Agkistrodon","Agkistrodon piscivorus","Florida",26.374,-81.61,23,1,2011
"3989",1416635813,"Amphibia","Caudata","Plethodontidae","Desmognathus","Desmognathus auriculatus","Florida",30.153262,-84.536868,3,12,2016
"3990",1324147785,"Reptilia","Squamata","Colubridae","Ahaetulla","Ahaetulla prasina","Florida",26.04591,-80.21976,18,12,2011
"3991",1324189209,"Reptilia","Squamata","Pythonidae","Python","Python regius","Florida",30.130636,-85.595388,10,9,2014
"3992",1324189918,"Reptilia","Squamata","Viperidae","Agkistrodon","Agkistrodon piscivorus","Florida",29.096428,-83.069253,18,3,2015
"3993",1837124981,"Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus terrestris","Florida",30.07835,-85.03392,7,2,2013
"3994",1324148479,"Reptilia","Squamata","Teiidae","Ameiva","Ameiva ameiva","Florida",25.64535,-80.31453,12,6,2012
"3995",1324147455,"Reptilia","Squamata","Pythonidae","Python","Python bivittatus","Florida",25.43875,-80.5562,26,11,2011
"3996",1324149249,"Reptilia","Squamata","Varanidae","Varanus",NA,"Florida",27.06193,-82.16703,12,7,2012
"3997",1324192345,"Reptilia","Squamata","Rhineuridae","Rhineura","Rhineura floridana","Florida",27.8281,-81.5924,2,2,2016
"3998",1324147150,"Reptilia","Squamata","Pythonidae","Python","Python bivittatus","Florida",26.08445,-81.26494,29,3,2010
"3999",1324148497,"Reptilia","Squamata","Varanidae","Varanus","Varanus niloticus","Florida",26.67833,-80.16065,5,8,2011
"4000",1324152319,"Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus garnotii","Florida",27.03358,-82.13509,2,9,2013
"4001",1324152284,"Reptilia","Squamata","Pythonidae","Python","Python regius","Florida",28.06245,-82.48404,1,9,2013
"4002",1839291498,"Amphibia","Anura","Ranidae","Lithobates","Lithobates sphenocephalus","Florida",30.63198,-84.64032,15,7,2013
"4003",1324189958,"Reptilia","Squamata","Dactyloidae","Anolis","Anolis sagrei","Florida",29.10058,-83.061,30,6,2014
"4004",1325929653,"Reptilia","Testudines","Testudinidae","Gopherus","Gopherus polyphemus","Florida",25.394846,-80.591504,1,11,2016
"4005",1324151459,"Reptilia","Squamata","Gekkonidae","Phelsuma","Phelsuma grandis","Florida",25.13675,-80.39849,28,5,2013
"4006",1324153755,"Reptilia","Squamata","Teiidae","Salvator","Salvator merianae","Florida",27.15416,-80.28354,22,3,2014
"4007",1836013691,"Amphibia","Anura","Hylidae","Dryophytes","Dryophytes squirellus","Florida",28.62518,-80.9643,11,5,2012
"4008",1324191768,"Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis elapsoides","Florida",29.710659,-82.418081,13,4,2016
"4009",1324152999,"Reptilia","Squamata","Pythonidae","Python","Python bivittatus","Florida",25.86239,-81.28651,20,12,2013
"4010",1324150977,"Reptilia","Squamata","Pythonidae","Python","Python bivittatus","Florida",25.74758,-80.67318,15,12,2013
"4011",1324191027,"Reptilia","Testudines","Emydidae","Pseudemys","Pseudemys concinna","Florida",28.5242,-82.5955,10,9,2014
"4012",1324191265,"Reptilia","Squamata",NA,NA,NA,"Florida",27.275643,-80.299714,17,12,2015
"4013",1324139059,"Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis californiae","Florida",27.83974,-82.79112,4,1,2010
"4014",1324150042,"Reptilia","Squamata","Anguidae","Ophisaurus","Ophisaurus attenuatus","Florida",30.32888,-83.28585,8,10,2012
"4015",1324139694,"Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis quinquetaeniata","Florida",27.2913,-80.36749,20,6,2010
"4016",1324189583,"Reptilia","Squamata","Colubridae","Thamnophis","Thamnophis sirtalis","Florida",26.67605,-80.381208,9,1,2015
"4017",1324151328,"Reptilia","Squamata","Gekkonidae","Phelsuma","Phelsuma grandis","Florida",24.76503,-80.94878,16,5,2013
"4018",1324149258,"Reptilia","Squamata","Boidae","Boa","Boa constrictor","Florida",28.35393,-81.64642,17,7,2012
"4019",1324150927,"Reptilia","Squamata","Iguanidae","Iguana","Iguana iguana","Florida",26.68018,-80.20527,23,2,2013
"4020",1324147922,"Reptilia","Squamata","Gekkonidae","Phelsuma","Phelsuma grandis","Florida",24.67599,-81.39439,26,3,2012
"4021",1324150446,"Reptilia","Squamata","Pythonidae","Python","Python bivittatus","Florida",25.76213,-80.7675,2,12,2012
"4022",2561150604,"Reptilia","Squamata","Colubridae","Nerodia","Nerodia fasciata","Florida",28.49839,-80.99862,16,10,2016
"4023",1324150458,"Reptilia","Squamata","Pythonidae","Python","Python bivittatus","Florida",25.76208,-80.75278,4,12,2012
"4024",1324146807,"Reptilia","Squamata","Viperidae","Agkistrodon","Agkistrodon contortrix","Florida",30.8857,-86.93292,20,4,2011
"4025",1835184530,"Amphibia","Anura","Ranidae","Lithobates","Lithobates sphenocephalus","Florida",30.05714,-85.01784,25,1,2011
"4026",1324189501,"Reptilia","Squamata","Colubridae","Rhadinaea","Rhadinaea flavilata","Florida",29.69557,-82.41952,26,12,2014
"4027",1324150739,"Reptilia","Squamata","Viperidae","Crotalus","Crotalus adamanteus","Florida",25.45018,-80.57446,6,2,2013
"4028",1324147199,"Reptilia","Squamata","Colubridae","Ahaetulla",NA,"Florida",26.04591,-80.21976,7,6,2011
"4029",1324190802,"Reptilia","Squamata","Viperidae","Crotalus","Crotalus horridus","Florida",29.725861,-82.234975,1,6,2015
